A/A, none,   	31.36%,	9.91,	2.1071,	0.45%,	0.45%
K/K, none,   	26.43%,	9.87,	1.6079,	0.45%,	0.9%
Q/Q, none,   	22.66%,	9.81,	1.2224,	0.45%,	1.36%
A/K, suited,	21.73%,	9.52,	1.0688,	0.3%,	1.66%
J/J, none,   	19.84%,	9.74,	0.9318,	0.45%,	2.11%
A/Q, suited,	20.44%,	9.41,	0.9239,	0.3%,	2.41%
K/Q, suited,	19.8%,	9.41,	0.8639,	0.3%,	2.71%
A/J, suited,	19.51%,	9.31,	0.8159,	0.3%,	3.02%
K/J, suited,	18.94%,	9.31,	0.7636,	0.3%,	3.32%
A/T, suited,	18.87%,	9.2,	0.7353,	0.3%,	3.62%
Q/J, suited,	18.55%,	9.28,	0.7217,	0.3%,	3.92%
A/K, unsuited,	18.29%,	9.41,	0.7209,	0.9%,	4.83%
T/T, none,   	17.76%,	9.65,	0.7145,	0.45%,	5.28%
K/T, suited,	18.34%,	9.21,	0.689,	0.3%,	5.58%
Q/T, suited,	18.04%,	9.19,	0.6577,	0.3%,	5.88%
J/T, suited,	18.07%,	9.16,	0.6552,	0.3%,	6.18%
9/9, none,   	16.05%,	9.69,	0.5559,	0.45%,	6.64%
A/Q, unsuited,	16.78%,	9.26,	0.5539,	0.9%,	7.54%
A/9, suited,	16.87%,	9.12,	0.5377,	0.3%,	7.84%
K/Q, unsuited,	16.3%,	9.26,	0.5098,	0.9%,	8.75%
K/9, suited,	16.22%,	9.16,	0.4854,	0.3%,	9.05%
T/9, suited,	16.33%,	9.09,	0.485,	0.3%,	9.35%
A/8, suited,	16.34%,	9.03,	0.4756,	0.3%,	9.65%
J/9, suited,	15.96%,	9.12,	0.4561,	0.3%,	9.95%
Q/9, suited,	15.89%,	9.14,	0.4527,	0.3%	,10.26%
8/8, none,   	14.96%,	9.67,	0.4471,	0.45%,	10.71%
A/5, suited,	16.23%,	8.9,	0.4447,	0.3%,	11.01%
A/J, unsuited,	15.7%,	9.1,	0.4291,	0.9%,	11.92%
A/7, suited,	15.93%,	8.96,	0.4272,	0.3%,	12.22%
A/4, suited,	15.88%,	8.94,	0.4205,	0.3%,	12.52%
A/3, suited,	15.51%,	9,	0.3957,	0.3%,	12.82%
K/J, unsuited,	15.3%,	9.11,	0.3944,	0.9%,	13.73%
A/6, suited,	15.62%,	8.91,	0.3916,	0.3%,	14.03%
Q/J, unsuited,	15.07%,	9.08,	0.3687,	0.9%,	14.93%
7/7, none,   	14.14%,	9.65,	0.3647,	0.45%,	15.38%
A/2, suited,	15.02%,	9.04,	0.3579,	0.3%,	15.69%
K/8, suited,	15.03%,	9.03,	0.3568,	0.3%,	15.99%
T/8, suited,	15.05%,	9,	0.3556,	0.3%,	16.29%
9/8, suited,	14.69%,	9.11,	0.3388,	0.3%,	16.59%
A/T, unsuited,	14.93%,	8.94,	0.3353,	0.9%,	17.5%
J/8, suited,	14.66%,	9.03,	0.3231,	0.3%,	17.8%
Q/8, suited,	14.61%,	9.04,	0.3204,	0.3%,	18.1%
K/7, suited,	14.64%,	8.96,	0.312,	0.3%,	18.4%
K/T, unsuited,	14.6%,	8.96,	0.3086,	0.9%,	19.31%
J/T, unsuited,	14.64%,	8.92,	0.3066,	0.9%	,20.21%
6/6, none,   	13.51%,	9.64,	0.3017,	0.45%,	20.66%
Q/T, unsuited,	14.45%,	8.94,	0.2918,	0.9%,	21.57%
